2024-01-01 23:54:48 - 1 -> Miesi¹c: 1, Sk³adka ratalna: 1885.68 z³, Uzbierana kwota na lokacie: 1885,68 z³, Zysk netto: 0.00 z³
2024-01-01 23:54:48 - 2 -> Miesi¹c: 2, Sk³adka ratalna: 1885.68 z³, Uzbierana kwota na lokacie: 3790.22 z³, Zysk netto: 18.86 z³
2024-01-01 23:54:48 - 19 -> Miesi¹c: 19, Sk³adka ratalna: 1885.68 z³, Uzbierana kwota na lokacie: 39242.73 z³, Zysk netto: 3414.77 z³
2024-01-01 23:54:48 - 20 -> Miesi¹c: 20, Sk³adka ratalna: 1885.68 z³, Uzbierana kwota na lokacie: 41520.84 z³, Zysk netto: 3807.20 z³
2024-01-01 23:54:48 - 21 -> Miesi¹c: 21, Sk³adka ratalna: 1885.68 z³, Uzbierana kwota na lokacie: 43821.73 z³, Zysk netto: 4222.41 z³
2024-01-01 23:54:48 - 22 -> Miesi¹c: 22, Sk³adka ratalna: 1885.68 z³, Uzbierana kwota na lokacie: 46145.63 z³, Zysk netto: 4660.63 z³
2024-01-01 23:54:48 - 23 -> Miesi¹c: 23, Sk³adka ratalna: 1885.68 z³, Uzbierana kwota na lokacie: 48492.77 z³, Zysk netto: 5122.08 z³
2024-01-01 23:54:48 - 24 -> Miesi¹c: 24, Sk³adka ratalna: 1885.68 z³, Uzbierana kwota na lokacie: 50863.38 z³, Zysk netto: 5607.01 z³
2024-01-01 23:54:48 - 25 -> Miesi¹c: 25, Sk³adka ratalna: 1885.68 z³, Uzbierana kwota na lokacie: 53257.70 z³, Zysk netto: 6115.64 z³
2024-01-01 23:54:48 - 26 -> Miesi¹c: 26, Sk³adka ratalna: 1885.68 z³, Uzbierana kwota na lokacie: 55675.96 z³, Zysk netto: 6648.22 z³
2024-01-01 23:54:48 - 27 -> Miesi¹c: 27, Sk³adka ratalna: 1885.68 z³, Uzbierana kwota na lokacie: 58118.40 z³, Zysk netto: 7204.98 z³
2024-01-01 23:54:48 - 28 -> Miesi¹c: 28, Sk³adka ratalna: 1885.68 z³, Uzbierana kwota na lokacie: 60585.27 z³, Zysk netto: 7786.16 z³
2024-01-01 23:54:48 - 29 -> Miesi¹c: 29, Sk³adka ratalna: 1885.68 z³, Uzbierana kwota na lokacie: 63076.80 z³, Zysk netto: 8392.02 z³
2024-01-01 23:54:48 - 30 -> Miesi¹c: 30, Sk³adka ratalna: 1885.68 z³, Uzbierana kwota na lokacie: 65593.25 z³, Zysk netto: 9022.78 z³
2024-01-01 23:54:48 - 31 -> Miesi¹c: 31, Sk³adka ratalna: 1885.68 z³, Uzbierana kwota na lokacie: 68134.86 z³, Zysk netto: 9678.72 z³
2024-01-01 23:54:48 - 32 -> Miesi¹c: 32, Sk³adka ratalna: 1885.68 z³, Uzbierana kwota na lokacie: 70701.90 z³, Zysk netto: 10360.07 z³
2024-01-01 23:54:48 - 33 -> Miesi¹c: 33, Sk³adka ratalna: 1885.68 z³, Uzbierana kwota na lokacie: 73294.60 z³, Zysk netto: 11067.08 z³
2024-01-01 23:54:48 - 34 -> Miesi¹c: 34, Sk³adka ratalna: 1885.68 z³, Uzbierana kwota na lokacie: 75913.23 z³, Zysk netto: 11800.03 z³
2024-01-01 23:54:48 - 35 -> Miesi¹c: 35, Sk³adka ratalna: 1885.68 z³, Uzbierana kwota na lokacie: 78558.04 z³, Zysk netto: 12559.16 z³
2024-01-01 23:54:48 - 36 -> Miesi¹c: 36, Sk³adka ratalna: 1885.68 z³, Uzbierana kwota na lokacie: 81229.30 z³, Zysk netto: 13344.74 z³
2024-01-01 23:54:48 - 37 -> Miesi¹c: 37, Sk³adka ratalna: 1885.68 z³, Uzbierana kwota na lokacie: 83927.28 z³, Zysk netto: 14157.04 z³
2024-01-01 23:54:48 - 38 -> Miesi¹c: 38, Sk³adka ratalna: 1885.68 z³, Uzbierana kwota na lokacie: 86652.23 z³, Zysk netto: 14996.31 z³
2024-01-01 23:54:48 - 39 -> Miesi¹c: 39, Sk³adka ratalna: 1885.68 z³, Uzbierana kwota na lokacie: 89404.44 z³, Zysk netto: 15862.83 z³
2024-01-01 23:54:48 - 40 -> Miesi¹c: 40, Sk³adka ratalna: 1885.68 z³, Uzbierana kwota na lokacie: 92184.16 z³, Zysk netto: 16756.88 z³
2024-01-01 23:54:48 - 41 -> Miesi¹c: 41, Sk³adka ratalna: 1885.68 z³, Uzbierana kwota na lokacie: 94991.69 z³, Zysk netto: 17678.72 z³
2024-01-01 23:54:48 - 42 -> Miesi¹c: 42, Sk³adka ratalna: 1885.68 z³, Uzbierana kwota na lokacie: 97827.29 z³, Zysk netto: 18628.63 z³
2024-01-01 23:54:48 - 43 -> Miesi¹c: 43, Sk³adka ratalna: 1885.68 z³, Uzbierana kwota na lokacie: 100691.24 z³, Zysk netto: 19606.91 z³
2024-01-01 23:54:48 - 44 -> Miesi¹c: 44, Sk³adka ratalna: 1885.68 z³, Uzbierana kwota na lokacie: 103583.84 z³, Zysk netto: 20613.82 z³
2024-01-01 23:54:48 - 45 -> Miesi¹c: 45, Sk³adka ratalna: 1885.68 z³, Uzbierana kwota na lokacie: 106505.36 z³, Zysk netto: 21649.66 z³
2024-01-01 23:54:48 - 46 -> Miesi¹c: 46, Sk³adka ratalna: 1885.68 z³, Uzbierana kwota na lokacie: 109456.09 z³, Zysk netto: 22714.71 z³
2024-01-01 23:54:48 - 47 -> Miesi¹c: 47, Sk³adka ratalna: 1885.68 z³, Uzbierana kwota na lokacie: 112436.34 z³, Zysk netto: 23809.27 z³
2024-01-01 23:54:48 - 48 -> Miesi¹c: 48, Sk³adka ratalna: 1885.68 z³, Uzbierana kwota na lokacie: 115446.38 z³, Zysk netto: 24933.64 z³
2024-01-01 23:54:48 - 49 -> Miesi¹c: 49, Sk³adka ratalna: 1885.68 z³, Uzbierana kwota na lokacie: 118486.53 z³, Zysk netto: 26088.10 z³
2024-01-01 23:54:48 - 50 -> Miesi¹c: 50, Sk³adka ratalna: 1885.68 z³, Uzbierana kwota na lokacie: 121557.07 z³, Zysk netto: 27272.96 z³
2024-01-01 23:54:48 - 51 -> Miesi¹c: 51, Sk³adka ratalna: 1885.68 z³, Uzbierana kwota na lokacie: 124658.33 z³, Zysk netto: 28488.54 z³
2024-01-01 23:54:48 - 52 -> Miesi¹c: 52, Sk³adka ratalna: 1885.68 z³, Uzbierana kwota na lokacie: 127790.59 z³, Zysk netto: 29735.12 z³
2024-01-01 23:54:48 - 53 -> Miesi¹c: 53, Sk³adka ratalna: 1885.68 z³, Uzbierana kwota na lokacie: 130954.18 z³, Zysk netto: 31013.02 z³
2024-01-01 23:54:48 - 54 -> Miesi¹c: 54, Sk³adka ratalna: 1885.68 z³, Uzbierana kwota na lokacie: 134149.40 z³, Zysk netto: 32322.57 z³
2024-01-01 23:54:48 - 55 -> Miesi¹c: 55, Sk³adka ratalna: 1885.68 z³, Uzbierana kwota na lokacie: 137376.58 z³, Zysk netto: 33664.06 z³
2024-01-01 23:54:48 - 56 -> Miesi¹c: 56, Sk³adka ratalna: 1885.68 z³, Uzbierana kwota na lokacie: 140636.03 z³, Zysk netto: 35037.83 z³
2024-01-01 23:54:48 - 57 -> Miesi¹c: 57, Sk³adka ratalna: 1885.68 z³, Uzbierana kwota na lokacie: 143928.07 z³, Zysk netto: 36444.19 z³
2024-01-01 23:54:48 - 58 -> Miesi¹c: 58, Sk³adka ratalna: 1885.68 z³, Uzbierana kwota na lokacie: 147253.03 z³, Zysk netto: 37883.47 z³
2024-01-01 23:54:48 - 59 -> Miesi¹c: 59, Sk³adka ratalna: 1885.68 z³, Uzbierana kwota na lokacie: 150611.25 z³, Zysk netto: 39356.00 z³
2024-01-01 23:54:48 - 60 -> Miesi¹c: 60, Sk³adka ratalna: 1885.68 z³, Uzbierana kwota na lokacie: 154003.04 z³, Zysk netto: 40862.11 z³
